TIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
16,401.178762171918, 481.2556582790862, -0.0008436813950538635,346.6156255582121, 459.256279492152, -12.88206958770752,313.6194455705505, 417.553605532504, -19.62815284729004,315.7610845260674, 373.0589670811229, -25.23627471923828,333.36494967173405, 344.61238471275965, -29.714120864868164,338.8132283722699, 354.54333296046207, -5.4642558097839355,335.25744202833016, 317.71696312414485, -8.736004829406738,340.09494664465274, 313.3485452441475, -10.449216842651367,341.6474743349311, 311.49124256476944, -12.316308975219727,374.7263712399494, 347.7459951744873, -4.473769187927246,366.6351397244154, 303.5394751843841, -8.238974571228027,365.3468028064494, 273.30090434824746, -13.243391036987305,363.7397222753317, 248.86245120775223, -17.46738624572754,407.5311566305913, 352.31545684434394, -5.495804786682129,404.82034470039247, 310.2157083758406, -11.01742935180664,401.35786427452985, 290.35209631901245, -17.836034774780273,398.3848387404429, 275.18741224242706, -23.305734634399414,439.1585665598453, 366.6049240782911, -7.848036289215088,437.3089069384742, 329.2745399573713, -13.411356925964355,430.3025568720268, 312.14501527218437, -18.406967163085938,423.5064376811301, 299.2164230654453, -22.872495651245117
32,403.81129768411296, 481.9939349231993, -0.0006400495767593384,350.17422990683906, 458.202241114879, -11.838629722595215,316.8883305028021, 416.01739153214663, -17.61558723449707,315.8008149189983, 372.2127577437046, -22.622831344604492,327.1032412020028, 345.0233598488854, -26.876544952392578,343.6483578732211, 355.61764486505297, -3.785862445831299,339.4490998211412, 318.1291150455507, -6.415832042694092,342.36902700131924, 308.6225033706242, -8.0646333694458,342.4691696152967, 301.71175242336824, -9.515249252319336,379.49491996052666, 349.8559204236204, -2.647199869155884,372.63400991650656, 306.8470911676564, -4.8243632316589355,371.1519985803816, 274.45811239464007, -8.822484970092773,368.9585302632781, 246.92389664276703, -11.942697525024414,411.53457068077813, 354.2327130464254, -3.5008411407470703,410.0204585082917, 312.5364767967608, -7.012131690979004,407.72404423672657, 286.5640659773462, -12.258532524108887,404.47611386557367, 264.7911407699525, -16.432485580444336,441.7701849324402, 367.29673543417186, -5.757235527038574,441.7638875477361, 330.02590583403776, -9.558318138122559,437.02322674352826, 308.2387089221974, -13.297539710998535,431.4591027761382, 288.84730917561126, -16.45931625366211
48,403.81129768411296, 481.9939349231993, -0.0006400495767593384,350.17422990683906, 458.202241114879, -11.838629722595215,316.8883305028021, 416.01739153214663, -17.61558723449707,315.8008149189983, 372.2127577437046, -22.622831344604492,327.1032412020028, 345.0233598488854, -26.876544952392578,343.6483578732211, 355.61764486505297, -3.785862445831299,339.4490998211412, 318.1291150455507, -6.415832042694092,342.36902700131924, 308.6225033706242, -8.0646333694458,342.4691696152967, 301.71175242336824, -9.515249252319336,379.49491996052666, 349.8559204236204, -2.647199869155884,372.63400991650656, 306.8470911676564, -4.8243632316589355,371.1519985803816, 274.45811239464007, -8.822484970092773,368.9585302632781, 246.92389664276703, -11.942697525024414,411.53457068077813, 354.2327130464254, -3.5008411407470703,410.0204585082917, 312.5364767967608, -7.012131690979004,407.72404423672657, 286.5640659773462, -12.258532524108887,404.47611386557367, 264.7911407699525, -16.432485580444336,441.7701849324402, 367.29673543417186, -5.757235527038574,441.7638875477361, 330.02590583403776, -9.558318138122559,437.02322674352826, 308.2387089221974, -13.297539710998535,431.4591027761382, 288.84730917561126, -16.45931625366211
65,403.03433992130624, 481.8421461766819, -0.0007707700133323669,350.1363203970683, 456.73771976683804, -12.317423820495605,317.29651338142855, 412.191613583312, -18.714820861816406,320.5955975943017, 369.4285605801746, -24.40230941772461,336.13362057781245, 344.7024649096739, -28.930091857910156,346.55036909031725, 348.4444114977853, -3.633828639984131,342.73438700666037, 312.50998878856103, -6.341928482055664,346.41704322211825, 298.6696770069004, -8.194910049438477,346.88315404887254, 287.9134757406549, -10.220563888549805,382.8603154065787, 344.21058669244724, -3.0375022888183594,378.3731587235181, 302.7110091090914, -7.0331950187683105,378.2440795094393, 277.5121654120255, -12.323331832885742,377.0175579241813, 259.0220321348335, -15.81905460357666,415.4534553063317, 350.3619404405585, -4.472779750823975,416.2352642839207, 307.9292828078486, -9.620577812194824,413.48956735310855, 287.5568196696079, -15.768653869628906,409.9132079066534, 272.8630435908391, -20.09819984436035,446.3602678686305, 366.54192861806837, -7.359949588775635,449.5047340103374, 327.19189065548323, -12.636513710021973,445.5116023044341, 305.28589975176965, -17.544960021972656,440.22720262652615, 288.4168227622372, -21.373367309570312
82,403.03433992130624, 481.8421461766819, -0.0007707700133323669,350.1363203970683, 456.73771976683804, -12.317423820495605,317.29651338142855, 412.191613583312, -18.714820861816406,320.5955975943017, 369.4285605801746, -24.40230941772461,336.13362057781245, 344.7024649096739, -28.930091857910156,346.55036909031725, 348.4444114977853, -3.633828639984131,342.73438700666037, 312.50998878856103, -6.341928482055664,346.41704322211825, 298.6696770069004, -8.194910049438477,346.88315404887254, 287.9134757406549, -10.220563888549805,382.8603154065787, 344.21058669244724, -3.0375022888183594,378.3731587235181, 302.7110091090914, -7.0331950187683105,378.2440795094393, 277.5121654120255, -12.323331832885742,377.0175579241813, 259.0220321348335, -15.81905460357666,415.4534553063317, 350.3619404405585, -4.472779750823975,416.2352642839207, 307.9292828078486, -9.620577812194824,413.48956735310855, 287.5568196696079, -15.768653869628906,409.9132079066534, 272.8630435908391, -20.09819984436035,446.3602678686305, 366.54192861806837, -7.359949588775635,449.5047340103374, 327.19189065548323, -12.636513710021973,445.5116023044341, 305.28589975176965, -17.544960021972656,440.22720262652615, 288.4168227622372, -21.373367309570312
99,400.53604531396866, 481.8819543355363, -0.0006238743662834167,350.5424969371977, 455.6333371847883, -11.735389709472656,320.6458257998618, 410.73391897997953, -17.279502868652344,321.77267657271244, 368.8328685023845, -22.24987030029297,329.461089512222, 343.18031239934294, -26.628564834594727,348.3947113711047, 348.19607310893986, -4.119989395141602,345.7388058777538, 311.2111601739333, -5.8098320960998535,348.9795454000099, 294.0992351091951, -6.6642889976501465,348.957080433004, 280.1783635293793, -7.920197486877441,384.62999138225763, 345.1237183730455, -3.538891315460205,381.17642237988616, 304.1427622841611, -5.998539924621582,381.7372303074792, 272.6346086374388, -9.914313316345215,380.3932349505759, 247.7332862646298, -12.613265037536621,416.7991207765466, 352.47731884856955, -4.871721267700195,420.303769202303, 310.97879528422015, -8.427088737487793,420.7457965408054, 282.55166247689965, -13.05402946472168,418.4302271243862, 259.7926525044121, -16.565265655517578,446.40549596263145, 369.7122465669225, -7.66079044342041,454.6016818690655, 332.32614016307537, -11.543524742126465,457.53825604132874, 304.86419695721526, -15.20148754119873,457.6476072909785, 280.20668326554403, -18.119861602783203
115,400.53604531396866, 481.8819543355363, -0.0006238743662834167,350.5424969371977, 455.6333371847883, -11.735389709472656,320.6458257998618, 410.73391897997953, -17.279502868652344,321.77267657271244, 368.8328685023845, -22.24987030029297,329.461089512222, 343.18031239934294, -26.628564834594727,348.3947113711047, 348.19607310893986, -4.119989395141602,345.7388058777538, 311.2111601739333, -5.8098320960998535,348.9795454000099, 294.0992351091951, -6.6642889976501465,348.957080433004, 280.1783635293793, -7.920197486877441,384.62999138225763, 345.1237183730455, -3.538891315460205,381.17642237988616, 304.1427622841611, -5.998539924621582,381.7372303074792, 272.6346086374388, -9.914313316345215,380.3932349505759, 247.7332862646298, -12.613265037536621,416.7991207765466, 352.47731884856955, -4.871721267700195,420.303769202303, 310.97879528422015, -8.427088737487793,420.7457965408054, 282.55166247689965, -13.05402946472168,418.4302271243862, 259.7926525044121, -16.565265655517578,446.40549596263145, 369.7122465669225, -7.66079044342041,454.6016818690655, 332.32614016307537, -11.543524742126465,457.53825604132874, 304.86419695721526, -15.20148754119873,457.6476072909785, 280.20668326554403, -18.119861602783203
132,398.92727458992067, 485.96041384981606, -0.0009172409772872925,350.2299935259686, 459.93044045230886, -11.904953956604004,320.27019407356624, 414.72360397039074, -17.476015090942383,320.8557763032404, 370.05297442404316, -22.19122886657715,327.5862162340311, 342.9427365361769, -26.254554748535156,356.16695966703315, 358.34982534307403, -5.172451019287109,357.25294557019436, 312.3839905563332, -7.2287278175354,361.32617923305673, 279.5861563369569, -8.638046264648438,362.8749131690089, 251.0466303835901, -9.532554626464844,392.0217795140324, 353.7873361173393, -3.2054572105407715,391.5471123011322, 309.7890643581446, -3.4775924682617188,393.0349949328481, 275.48165975650886, -5.42625617980957,392.3168965947807, 246.3794850528711, -6.337593078613281,422.82670714453906, 358.1675754306694, -2.989816904067993,426.6046552850481, 314.1384318318576, -4.166492462158203,429.18422479538583, 280.6906610271554, -6.257216453552246,428.657260025337, 251.85628876240693, -7.599089622497559,450.23040233603643, 370.3874562644046, -4.300146579742432,457.98032905844826, 330.1014788611671, -6.520414352416992,461.98045696667083, 301.46839335798927, -8.462969779968262,463.7549145711404, 274.20299117201637, -9.411393165588379
149,400.18758928273564, 484.4504916557602, -0.0009457990527153015,351.2743962541304, 460.9721496493931, -9.782136917114258,322.1029757541172, 418.94581552462193, -14.441401481628418,315.6705753642971, 375.333203593011, -18.66712188720703,313.16478684124075, 344.8101413975456, -22.826488494873047,355.90458079497785, 361.4376634361008, -5.941713333129883,357.3283639217412, 315.8999859254492, -8.354714393615723,361.9482394150424, 284.40032069368164, -10.213343620300293,364.5317191386357, 257.4788123662485, -11.748098373413086,391.12813502527194, 357.14351881093734, -5.042072772979736,391.6104457681501, 310.3505156686639, -6.38159704208374,395.52273624823, 274.5193088394181, -8.81149959564209,397.5605549009906, 244.56163268286582, -10.56788444519043,422.61870673685183, 362.12941417058977, -5.509190082550049,428.47463434510706, 316.52733814548185, -7.614171981811523,434.9992557049512, 281.97592490888786, -10.046638488769531,438.4971876754471, 252.52091663406372, -12.01636028289795,450.63363781616044, 375.8116557733992, -7.192132472991943,463.61788671899717, 336.5552017349216, -10.045166969299316,472.02118552149363, 308.395409003445, -12.21992015838623,478.0841913903102, 281.4200749010613, -13.514738082885742
164,400.18758928273564, 484.4504916557602, -0.0009457990527153015,351.2743962541304, 460.9721496493931, -9.782136917114258,322.1029757541172, 418.94581552462193, -14.441401481628418,315.6705753642971, 375.333203593011, -18.66712188720703,313.16478684124075, 344.8101413975456, -22.826488494873047,355.90458079497785, 361.4376634361008, -5.941713333129883,357.3283639217412, 315.8999859254492, -8.354714393615723,361.9482394150424, 284.40032069368164, -10.213343620300293,364.5317191386357, 257.4788123662485, -11.748098373413086,391.12813502527194, 357.14351881093734, -5.042072772979736,391.6104457681501, 310.3505156686639, -6.38159704208374,395.52273624823, 274.5193088394181, -8.81149959564209,397.5605549009906, 244.56163268286582, -10.56788444519043,422.61870673685183, 362.12941417058977, -5.509190082550049,428.47463434510706, 316.52733814548185, -7.614171981811523,434.9992557049512, 281.97592490888786, -10.046638488769531,438.4971876754471, 252.52091663406372, -12.01636028289795,450.63363781616044, 375.8116557733992, -7.192132472991943,463.61788671899717, 336.5552017349216, -10.045166969299316,472.02118552149363, 308.395409003445, -12.21992015838623,478.0841913903102, 281.4200749010613, -13.514738082885742
