undefinedTIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
680,424.40380832303947, 429.09381129886805, -0.0002564042806625366,360.64556024704376, 413.4464336135853, -7.359682559967041,301.4892173456619, 377.75788176688485, -12.805723190307617,249.740859789618, 346.384362863379, -17.641971588134766,203.67048312975837, 334.20720514893435, -22.89197540283203,363.83868473251016, 294.9293323686039, -14.777280807495117,335.45843435316044, 229.92324557384862, -19.110065460205078,319.56198888642746, 189.9062776378144, -22.077808380126953,305.3067306949778, 155.08089687610158, -24.403717041015625,410.3007813514751, 280.4245964116301, -14.15311336517334,394.40619032813555, 203.60752212267926, -18.50089454650879,383.3226351972729, 154.57825093595665, -20.73468017578125,371.6824802940979, 116.68447717014925, -22.26344108581543,450.99746449772886, 283.2895400354836, -13.657099723815918,448.52618753160345, 216.06351180177438, -17.198928833007812,446.36168579449543, 169.78590490383087, -17.65851593017578,440.1206164921021, 133.8614849849709, -18.0527400970459,485.9266774630239, 302.2057948557599, -13.888544082641602,505.1669727999531, 256.15655170606215, -16.10984992980957,517.7914515913704, 225.40724210329338, -16.412832260131836,524.5895093497287, 194.78040652882322, -16.432106018066406
735,422.9226492565647, 430.1611858982301, -0.00027824193239212036,360.5860910707873, 414.8806703060391, -6.442430019378662,299.70873690359883, 377.79554068630455, -11.417946815490723,245.92530652388655, 345.25348928879544, -15.843233108520508,198.5041559972363, 332.6520154414794, -20.699628829956055,362.62619304472753, 295.63753014739746, -13.97404670715332,334.0947387396294, 230.45114909450126, -17.701988220214844,318.32524377036987, 190.76330152471255, -20.140869140625,304.21998258227774, 156.3732871337873, -22.111278533935547,409.2542313059409, 280.12905981431874, -13.18911075592041,391.87371769059445, 204.0958665228818, -17.046916961669922,380.4882484276139, 154.8904013338439, -18.729337692260742,368.7427460164314, 117.27215434332425, -19.796735763549805,450.27953485596703, 282.2512420056037, -12.400223731994629,445.9267878123018, 214.96512636411165, -15.322709083557129,443.50574651969396, 167.5106395655343, -15.164970397949219,437.4565139515357, 130.8476736618171, -15.03888988494873,486.34488366278055, 300.7027608626222, -12.245752334594727,505.04286399524324, 254.1308539232008, -13.9353666305542,518.0227597868488, 222.51154644777273, -13.930243492126465,525.1287383870182, 191.1607063722596, -13.66993522644043
789,425.1106058708976, 430.60056199744224, -0.0002730563282966614,362.12667299171903, 417.30130899012704, -6.650959491729736,301.733636055504, 380.77946897428006, -11.831949234008789,249.156099065849, 347.51673664504267, -16.3189640045166,202.76494065764481, 333.51838081546805, -21.085817337036133,361.8756094573148, 298.3171954220323, -14.631328582763672,333.0106014342348, 232.13388518191647, -18.498971939086914,317.23738482556263, 192.3238193215845, -20.81871795654297,302.9727192700555, 157.94182241649793, -22.611486434936523,408.04072030031944, 281.23016258358507, -13.74966812133789,389.8258431049378, 203.11425456889395, -17.887569427490234,377.8686309996722, 154.01708436704905, -19.389915466308594,365.716775982769, 116.79176700981446, -20.23246955871582,448.74587271530936, 281.72171303253214, -12.803364753723145,443.6048968468406, 211.8843077457704, -15.935444831848145,439.8170424172582, 164.3626600435003, -15.56079387664795,432.23744582132747, 127.6263866363424, -15.254809379577637,484.37034002297275, 298.83290428325336, -12.476337432861328,499.78043033913343, 249.1492709173115, -14.181876182556152,509.85116014870175, 217.33856855542854, -13.84703254699707,514.4248613010801, 186.2328350186704, -13.286138534545898
843,428.69669241901806, 425.44840439377845, -0.00043501704931259155,364.6776583418636, 412.75229694292875, -5.749227523803711,302.57891670095205, 378.56736341674554, -10.920685768127441,248.64032000092416, 348.9263512075287, -15.591361045837402,202.46682620483773, 338.5265001078023, -20.820302963256836,362.0464302830658, 300.9372483320559, -15.161951065063477,332.80197909237836, 236.5033849636592, -19.7742862701416,315.95033553171794, 197.55290658313686, -22.791824340820312,300.81505412429135, 164.02108065525854, -25.0244083404541,408.114473314833, 284.1518423793054, -14.746560096740723,388.3504241569517, 207.03225479128767, -19.70741844177246,375.3939103267349, 157.21357064061064, -21.828779220581055,362.4586222927733, 119.12673755629308, -23.170408248901367,449.3026577658617, 283.9875029112388, -14.108433723449707,442.73681392535354, 214.38987552148242, -17.915565490722656,438.2398003820224, 165.89289152574526, -17.96160125732422,430.18018186100676, 128.2900959234382, -17.9544734954834,485.26104657089456, 300.01487196165994, -13.954046249389648,501.0775615430262, 250.1787508162669, -16.323076248168945,511.22314766065045, 217.83186977783032, -16.549747467041016,515.3674412367972, 186.44729987879475, -16.44412612915039
898,427.78125331641075, 428.16604217040737, -0.0004177391529083252,364.509367786426, 414.2552794053847, -4.8274736404418945,302.80698572887326, 379.6080095294225, -8.979453086853027,248.58707533239624, 351.1340437715487, -12.965423583984375,202.07484420281966, 341.88548902004925, -17.55484390258789,360.1248490416535, 297.3169531579017, -11.721973419189453,330.23606782088456, 234.63693090924517, -15.462383270263672,312.96793130215855, 197.4925145153446, -18.511159896850586,297.5600525317775, 165.63817663105067, -21.002931594848633,404.91012395358797, 280.67474156799625, -11.853473663330078,385.62329646515667, 204.70914759303832, -15.634440422058105,373.08126073603717, 156.42329733642356, -17.719114303588867,360.66285426611665, 119.44953102390195, -19.205135345458984,445.5877843498784, 281.8412923841644, -11.950206756591797,440.2218506787498, 213.6063147113025, -14.902225494384766,437.0632090115376, 166.25043822352433, -14.97538948059082,430.45007909665156, 129.2680140114716, -15.138199806213379,481.3707786088863, 300.1512591442513, -12.590702056884766,499.68781544259537, 252.524975662652, -14.418135643005371,512.3097060638315, 221.41010238725272, -14.553596496582031,519.2297599991211, 190.2985839872505, -14.493518829345703
950,426.18679240929976, 430.6793185305298, -0.00044596195220947266,362.99397977253363, 414.94612875761294, -7.142518520355225,302.0189032331215, 379.0311006396796, -12.34731388092041,247.29734500214659, 349.6941970266999, -17.50966453552246,199.67363620681056, 338.35956262568595, -23.344079971313477,358.21861326359397, 293.79950013227545, -11.718303680419922,330.212742700591, 232.31654326015854, -16.051677703857422,313.8524593489195, 193.09008307521967, -19.820133209228516,299.70730987309565, 158.8797229727257, -23.035993576049805,402.82627876240736, 279.87333741348095, -12.174521446228027,385.761206373387, 206.61245116127932, -16.388431549072266,373.9372784395428, 157.01447523424605, -19.816097259521484,362.3429758368905, 118.85840468488868, -22.432353973388672,443.38373931023216, 283.28560350145847, -13.155938148498535,440.32893636265953, 217.96575202775892, -16.903905868530273,438.3174279147243, 170.78347802590628, -18.62839698791504,432.71450601868025, 134.16767725258455, -20.03830337524414,479.7218087676288, 302.9339426924131, -15.000934600830078,499.26358349362414, 257.94697229236147, -17.938268661499023,512.5646240133588, 226.22885002050626, -19.309608459472656,520.0448928847514, 194.18387089387363, -20.24846649169922
1003,426.18679240929976, 430.6793185305298, -0.00044596195220947266,362.99397977253363, 414.94612875761294, -7.142518520355225,302.0189032331215, 379.0311006396796, -12.34731388092041,247.29734500214659, 349.6941970266999, -17.50966453552246,199.67363620681056, 338.35956262568595, -23.344079971313477,358.21861326359397, 293.79950013227545, -11.718303680419922,330.212742700591, 232.31654326015854, -16.051677703857422,313.8524593489195, 193.09008307521967, -19.820133209228516,299.70730987309565, 158.8797229727257, -23.035993576049805,402.82627876240736, 279.87333741348095, -12.174521446228027,385.761206373387, 206.61245116127932, -16.388431549072266,373.9372784395428, 157.01447523424605, -19.816097259521484,362.3429758368905, 118.85840468488868, -22.432353973388672,443.38373931023216, 283.28560350145847, -13.155938148498535,440.32893636265953, 217.96575202775892, -16.903905868530273,438.3174279147243, 170.78347802590628, -18.62839698791504,432.71450601868025, 134.16767725258455, -20.03830337524414,479.7218087676288, 302.9339426924131, -15.000934600830078,499.26358349362414, 257.94697229236147, -17.938268661499023,512.5646240133588, 226.22885002050626, -19.309608459472656,520.0448928847514, 194.18387089387363, -20.24846649169922
1059,427.0836498150288, 431.58978116508064, -0.0005017966032028198,363.04740974273096, 417.86481407659164, -5.680273056030273,301.4079978249829, 383.08878962555576, -10.183446884155273,248.4008816465439, 354.02163138168953, -14.480033874511719,206.02496042824555, 343.34049711470675, -19.29188346862793,356.41148570821633, 293.2705435985973, -11.218002319335938,327.86086276049, 229.40734835873099, -14.764734268188477,312.20819540386833, 190.89495155590396, -17.608442306518555,299.122973752782, 158.46350237566844, -20.106473922729492,402.3061591264034, 277.9977933336875, -11.254287719726562,383.9448978485969, 202.61160505382858, -14.686319351196289,371.7159494965037, 153.66825336666582, -17.03264045715332,359.74141801289636, 117.91493791731713, -19.000385284423828,444.3177534399274, 281.20305068196444, -11.468381881713867,439.80537661921716, 213.86325844992896, -14.376830101013184,436.52122902476924, 167.341216430306, -15.107215881347656,429.53347954285704, 133.10792561147804, -15.884005546569824,482.09540844705595, 301.2631090620138, -12.299448013305664,500.04914405275184, 254.55988898309923, -14.33346939086914,511.8431570839026, 223.10905552632767, -14.904706954956055,517.2988810543261, 193.0229370093416, -15.278434753417969
1111,428.463138166337, 429.8945969521045, -0.00039487332105636597,364.93203963174074, 416.606505681601, -6.946563720703125,303.34506658629954, 381.9384750235812, -12.004406929016113,248.42921793486366, 351.46897702234656, -16.648529052734375,202.08300256637864, 339.2338993080836, -21.646080017089844,356.564546510206, 292.29286262921266, -12.062307357788086,325.8124142732826, 231.04434396949367, -16.124095916748047,308.5714897078813, 193.04586614193136, -19.447004318237305,293.83000501271476, 160.21226612310656, -22.326587677001953,401.6041925116289, 276.2261183629631, -11.87375545501709,383.52163974274987, 202.70829445144028, -15.496257781982422,371.1803123815968, 155.4086365436841, -18.071313858032227,359.3643246519576, 120.77460718129709, -20.277267456054688,442.38556984896786, 278.9993975325696, -12.033769607543945,439.4171894403137, 213.62287305459319, -15.144533157348633,436.9948382154171, 169.2540131981229, -16.185426712036133,430.5389932975081, 136.11858636898384, -17.335186004638672,478.6403475112364, 299.2707817815805, -12.962003707885742,495.15030828208415, 253.97172782436755, -15.139719009399414,505.89046756096116, 224.77724388106492, -15.75888729095459,511.22776170408355, 196.4446069132218, -16.26930046081543
1165,428.4915194265569, 431.25837749805305, -0.00038233399391174316,366.74921648179253, 422.3654140890395, -6.988221645355225,304.2606033402275, 388.6872183096051, -11.904891014099121,248.38631781383774, 359.86271903084105, -16.59981918334961,200.1400138834151, 349.22886581681036, -21.60873794555664,351.8911276687119, 297.7833163649401, -10.875185012817383,318.91507295113286, 239.79157223081612, -14.920495986938477,299.7665364517427, 201.6712408509098, -18.714868545532227,283.2160179818287, 167.68482477829895, -22.132715225219727,396.34725121606294, 279.24008199218895, -11.268528938293457,374.6129453335807, 208.57834147317243, -14.949067115783691,359.1098485324504, 159.6361674602917, -18.16252326965332,345.03807527328814, 123.58564335004007, -20.825836181640625,437.69663929485677, 279.9974309657119, -12.198649406433105,431.579843809686, 215.41342233076853, -15.445911407470703,426.2375437650419, 168.289146917141, -16.87137794494629,417.6656686456368, 132.38250534919905, -18.339374542236328,475.7877090848462, 299.8007236253903, -14.014411926269531,491.07877385337224, 254.0819099932743, -16.351167678833008,500.49658611617815, 223.3160378496529, -17.149581909179688,504.7624613464573, 192.95474449229283, -17.818429946899414
